message,count,symbols,fixed attribute values
"(13, 13, 32, 0)",1,"{(32, 13)}","{(0, 8, 6)}"
"(13, 13, 39, 0)",4,"{(13, 39)}","{(14, '?', '?')}"
"(13, 13, 46, 0)",3,"{(13, 46)}","{(14, '?', '?')}"
"(13, 13, 48, 0)",4,"{(48, 13)}","{('?', '?', '?')}"
"(13, 16, 2, 0)",1,"{(16, 2, 13)}","{(7, '?', '?')}"
"(13, 16, 5, 0)",1,"{(16, 5, 13)}","{(9, 4, '?')}"
"(13, 23, 23, 0)",15,"{(13, 23)}","{('?', '?', '?')}"
"(13, 23, 44, 0)",4,"{(44, 13, 23)}","{('?', '?', '?')}"
"(13, 23, 45, 0)",10,"{(45, 13, 23)}","{('?', '?', '?')}"
"(13, 36, 36, 0)",6,"{(36, 13)}","{('?', '?', '?')}"
"(14, 10, 32, 0)",13,"{(32, 10, 14)}","{('?', '?', '?')}"
"(14, 12, 9, 0)",1,"{(9, 12, 14)}","{(12, 10, 0)}"
"(14, 12, 14, 0)",3,"{(12, 14)}","{('?', '?', '?')}"
"(14, 12, 32, 0)",15,"{(32, 12, 14)}","{('?', '?', '?')}"
"(14, 12, 48, 0)",1,"{(48, 12, 14)}","{(12, 8, 0)}"
"(14, 14, 14, 0)",2,"{(14,)}","{(14, '?', 2)}"
"(14, 14, 16, 0)",1,"{(16, 14)}","{(14, 10, 2)}"
"(14, 16, 16, 0)",1,"{(16, 14)}","{('?', 13, 2)}"
"(14, 32, 5, 0)",2,"{(32, 5, 14)}","{('?', '?', '?')}"
"(14, 32, 16, 0)",5,"{(32, 16, 14)}","{('?', '?', '?')}"
"(14, 39, 5, 0)",4,"{(5, 14, 39)}","{('?', '?', '?')}"
"(14, 39, 16, 0)",5,"{(16, 14, 39)}","{('?', '?', '?')}"
"(14, 39, 32, 0)",6,"{(32, 14, 39)}","{(15, '?', '?')}"
"(15, 3, 3, 0)",19,"{(3, 15)}","{('?', '?', '?')}"
"(15, 3, 4, 0)",13,"{(3, 4, 15)}","{(14, '?', '?')}"
"(15, 3, 5, 0)",8,"{(3, 5, 15)}","{('?', '?', '?')}"
"(15, 3, 15, 0)",1,"{(3, 15)}","{(7, 8, 7)}"
"(15, 3, 44, 0)",7,"{(3, 44, 15)}","{(14, '?', '?')}"
"(15, 4, 4, 0)",8,"{(4, 15)}","{('?', '?', '?')}"
"(15, 4, 5, 0)",10,"{(4, 5, 15)}","{('?', '?', '?')}"
"(15, 4, 10, 0)",2,"{(10, 4, 15)}","{('?', '?', '?')}"
"(15, 4, 15, 0)",1,"{(4, 15)}","{(7, 13, 13)}"
"(15, 4, 23, 0)",1,"{(4, 23, 15)}","{(1, 13, 11)}"
"(15, 4, 44, 0)",9,"{(4, 44, 15)}","{('?', '?', '?')}"
"(15, 7, 10, 0)",1,"{(10, 7, 15)}","{(12, 10, 14)}"
"(15, 10, 7, 0)",3,"{(10, 7, 15)}","{('?', '?', 14)}"
"(15, 10, 15, 0)",2,"{(10, 15)}","{('?', 13, 14)}"
"(15, 12, 32, 0)",1,"{(32, 12, 15)}","{(10, 8, 6)}"
"(15, 13, 23, 0)",1,"{(23, 13, 15)}","{(7, 10, 4)}"
"(15, 13, 46, 0)",2,"{(13, 46, 15)}","{(14, '?', '?')}"
"(15, 15, 10, 0)",7,"{(10, 15)}","{('?', '?', '?')}"
"(15, 15, 15, 0)",26,"{(15,)}","{('?', '?', '?')}"
"(15, 15, 23, 0)",13,"{(23, 15)}","{('?', '?', '?')}"
"(15, 15, 30, 0)",2,"{(30, 15)}","{(10, 13, '?')}"
"(15, 23, 10, 0)",21,"{(10, 23, 15)}","{('?', '?', '?')}"
"(15, 23, 15, 0)",1,"{(23, 15)}","{(1, 13, 9)}"
"(15, 23, 23, 0)",15,"{(23, 15)}","{('?', '?', '?')}"
"(15, 30, 7, 0)",1,"{(7, 30, 15)}","{(12, 13, 14)}"
"(15, 30, 10, 0)",37,"{(10, 30, 15)}","{('?', '?', '?')}"
"(15, 30, 15, 0)",1,"{(30, 15)}","{(7, 8, 3)}"
"(15, 30, 19, 0)",1,"{(19, 30, 15)}","{(11, 8, 3)}"
"(15, 30, 23, 0)",1,"{(23, 30, 15)}","{(11, 10, 11)}"
"(15, 36, 19, 0)",25,"{(19, 36, 15)}","{('?', '?', '?')}"
"(15, 36, 36, 0)",16,"{(36, 15)}","{('?', '?', '?')}"
"(15, 48, 10, 0)",1,"{(48, 10, 15)}","{(11, 8, '?')}"
"(16, 5, 2, 0)",2,"{(16, 2, 5)}","{('?', 12, '?')}"
"(16, 5, 5, 0)",3,"{(16, 5)}","{('?', '?', '?')}"
"(16, 5, 16, 0)",1,"{(16, 5)}","{('?', 12, '?')}"
"(16, 16, 2, 0)",1,"{(16, 2)}","{('?', 4, '?')}"
"(16, 16, 5, 0)",2,"{(16, 5)}","{('?', '?', '?')}"
"(16, 16, 16, 0)",1,"{(16,)}","{(15, 4, 14)}"
"(16, 16, 19, 0)",1,"{(16, 19)}","{('?', 9, '?')}"
"(16, 46, 2, 0)",1,"{(16, 2, 46)}","{('?', 4, '?')}"
"(17, 5, 5, 0)",4,"{(17, 5)}","{('?', '?', '?')}"
"(17, 5, 16, 0)",1,"{(16, 17, 5)}","{('?', 1, '?')}"
"(17, 5, 22, 0)",6,"{(17, 5, 22)}","{('?', '?', '?')}"
"(17, 8, 5, 0)",14,"{(8, 17, 5)}","{('?', '?', '?')}"
"(17, 8, 8, 0)",5,"{(8, 17)}","{(4, '?', '?')}"
"(17, 8, 28, 0)",6,"{(8, 17, 28)}","{(4, '?', '?')}"
"(17, 8, 31, 0)",5,"{(8, 17, 31)}","{(4, '?', '?')}"
"(17, 11, 16, 0)",1,"{(16, 17, 11)}","{(5, 12, '?')}"
"(17, 11, 28, 0)",5,"{(17, 11, 28)}","{('?', 12, '?')}"
"(17, 11, 31, 0)",2,"{(17, 11, 31)}","{('?', '?', '?')}"
"(17, 16, 5, 0)",2,"{(16, 17, 5)}","{('?', 12, '?')}"
"(17, 17, 5, 0)",5,"{(17, 5)}","{('?', '?', '?')}"
"(17, 17, 8, 0)",12,"{(8, 17)}","{('?', '?', '?')}"
"(17, 17, 11, 0)",17,"{(17, 11)}","{('?', '?', '?')}"
"(17, 17, 16, 0)",2,"{(16, 17)}","{('?', 5, '?')}"
"(17, 17, 17, 0)",6,"{(17,)}","{('?', '?', '?')}"
"(17, 17, 22, 0)",9,"{(17, 22)}","{('?', '?', '?')}"
"(17, 17, 24, 0)",16,"{(24, 17)}","{('?', '?', '?')}"
"(17, 17, 28, 0)",6,"{(17, 28)}","{('?', '?', '?')}"
"(17, 17, 31, 0)",2,"{(17, 31)}","{(5, '?', 15)}"
"(17, 17, 33, 0)",4,"{(17, 33)}","{(2, '?', '?')}"
"(17, 17, 46, 0)",3,"{(17, 46)}","{('?', '?', '?')}"
"(17, 17, 50, 0)",3,"{(17, 50)}","{('?', '?', '?')}"
"(17, 22, 5, 0)",7,"{(17, 5, 22)}","{('?', '?', '?')}"
"(17, 22, 19, 0)",1,"{(17, 19, 22)}","{(8, 0, '?')}"
"(17, 22, 22, 0)",22,"{(17, 22)}","{('?', '?', '?')}"
"(17, 22, 24, 0)",6,"{(24, 17, 22)}","{('?', '?', '?')}"
"(17, 22, 41, 0)",14,"{(17, 22, 41)}","{('?', '?', '?')}"
"(17, 22, 42, 0)",4,"{(17, 42, 22)}","{('?', '?', '?')}"
"(17, 24, 5, 0)",1,"{(24, 17, 5)}","{(8, 11, '?')}"
"(17, 24, 22, 0)",9,"{(24, 17, 22)}","{('?', '?', '?')}"
"(17, 24, 24, 0)",8,"{(24, 17)}","{(4, '?', '?')}"
"(17, 24, 28, 0)",4,"{(24, 17, 28)}","{(4, '?', '?')}"
"(17, 24, 33, 0)",1,"{(24, 17, 33)}","{(4, 0, 5)}"
"(17, 24, 41, 0)",5,"{(24, 17, 41)}","{(4, '?', '?')}"
"(17, 24, 42, 0)",7,"{(24, 17, 42)}","{('?', '?', '?')}"
"(17, 28, 5, 0)",4,"{(17, 28, 5)}","{('?', 5, '?')}"
"(17, 28, 8, 0)",8,"{(8, 17, 28)}","{('?', '?', '?')}"
"(17, 28, 16, 0)",5,"{(16, 17, 28)}","{('?', '?', '?')}"
"(17, 29, 5, 0)",2,"{(17, 5, 29)}","{('?', '?', 5)}"
"(17, 31, 31, 0)",1,"{(17, 31)}","{(4, '?', 6)}"
"(17, 33, 5, 0)",2,"{(17, 5, 33)}","{(4, '?', '?')}"
"(17, 33, 8, 0)",8,"{(8, 17, 33)}","{('?', '?', '?')}"
"(17, 33, 17, 0)",6,"{(17, 33)}","{('?', '?', '?')}"
"(17, 33, 22, 0)",2,"{(17, 22, 33)}","{(4, 0, '?')}"
"(17, 33, 24, 0)",6,"{(24, 17, 33)}","{('?', '?', '?')}"
"(17, 33, 28, 0)",8,"{(17, 28, 33)}","{('?', '?', '?')}"
"(17, 33, 31, 0)",4,"{(17, 31, 33)}","{('?', '?', '?')}"
"(17, 33, 38, 0)",7,"{(17, 38, 33)}","{('?', '?', '?')}"
"(17, 41, 5, 0)",8,"{(17, 5, 41)}","{('?', '?', '?')}"
"(17, 41, 8, 0)",3,"{(8, 17, 41)}","{(4, '?', '?')}"
"(17, 41, 22, 0)",1,"{(17, 22, 41)}","{(4, 2, 5)}"
"(17, 42, 5, 0)",2,"{(17, 42, 5)}","{(8, '?', '?')}"
"(17, 42, 22, 0)",1,"{(17, 42, 22)}","{(3, 0, 5)}"
"(17, 42, 41, 0)",2,"{(17, 42, 41)}","{(3, '?', 5)}"
"(17, 42, 42, 0)",2,"{(17, 42)}","{('?', 11, 5)}"
"(17, 46, 5, 0)",8,"{(17, 5, 46)}","{('?', '?', '?')}"
"(17, 46, 16, 0)",2,"{(16, 17, 46)}","{(4, '?', '?')}"
"(17, 46, 22, 0)",11,"{(17, 46, 22)}","{(4, '?', '?')}"
"(17, 46, 23, 0)",3,"{(17, 46, 23)}","{(4, '?', '?')}"
"(17, 46, 44, 0)",1,"{(17, 44, 46)}","{(4, 11, 11)}"
"(17, 50, 5, 0)",2,"{(17, 50, 5)}","{('?', '?', '?')}"
"(17, 50, 25, 0)",1,"{(17, 50, 25)}","{(2, 5, 11)}"
"(17, 50, 50, 0)",1,"{(17, 50)}","{(5, 0, 4)}"
"(18, 2, 5, 0)",1,"{(18, 2, 5)}","{(9, 12, 2)}"
"(18, 2, 16, 0)",1,"{(16, 18, 2)}","{(9, 12, 2)}"
"(18, 6, 5, 0)",1,"{(18, 5, 6)}","{(9, '?', 2)}"
"(18, 12, 47, 0)",3,"{(18, 12, 47)}","{('?', '?', 2)}"
"(18, 18, 47, 0)",2,"{(18, 47)}","{(9, '?', 2)}"
"(18, 22, 22, 0)",2,"{(18, 22)}","{(0, '?', 2)}"
"(18, 22, 40, 0)",3,"{(40, 18, 22)}","{('?', '?', 2)}"
"(18, 22, 41, 0)",2,"{(41, 18, 22)}","{(0, '?', 2)}"
"(18, 28, 2, 0)",4,"{(18, 2, 28)}","{('?', '?', 2)}"
"(18, 28, 5, 0)",6,"{(18, 28, 5)}","{('?', '?', 2)}"
"(18, 28, 19, 0)",1,"{(18, 19, 28)}","{(11, 3, 2)}"
"(18, 28, 22, 0)",3,"{(18, 28, 22)}","{('?', 11, 2)}"
"(18, 28, 40, 0)",3,"{(40, 18, 28)}","{('?', '?', 2)}"
"(18, 41, 5, 0)",3,"{(41, 18, 5)}","{('?', '?', 2)}"
"(18, 47, 22, 0)",2,"{(18, 22, 47)}","{('?', 15, 2)}"
"(18, 47, 47, 0)",3,"{(18, 47)}","{('?', '?', 2)}"
"(19, 2, 19, 0)",1,"{(2, 19)}","{(13, 5, '?')}"
"(19, 5, 5, 0)",1,"{(19, 5)}","{(13, 0, '?')}"
"(19, 5, 19, 0)",1,"{(19, 5)}","{(13, 14, '?')}"
"(19, 5, 40, 0)",1,"{(40, 19, 5)}","{(13, 14, '?')}"
"(19, 10, 36, 0)",1,"{(10, 19, 36)}","{(13, 5, 14)}"
"(19, 19, 5, 0)",2,"{(19, 5)}","{(13, '?', '?')}"
"(19, 19, 19, 0)",8,"{(19,)}","{(13, '?', '?')}"
"(19, 19, 36, 0)",7,"{(19, 36)}","{(13, '?', '?')}"
"(19, 22, 19, 0)",5,"{(19, 22)}","{(13, '?', '?')}"
"(19, 23, 19, 0)",5,"{(19, 23)}","{(13, '?', '?')}"
"(19, 36, 19, 0)",2,"{(19, 36)}","{(13, 5, '?')}"
"(19, 44, 19, 0)",9,"{(19, 44)}","{(13, '?', '?')}"
"(19, 46, 19, 0)",1,"{(19, 46)}","{(13, 0, '?')}"
"(19, 46, 22, 0)",1,"{(19, 46, 22)}","{(13, 0, '?')}"
"(19, 48, 19, 0)",1,"{(48, 19)}","{(13, 0, '?')}"
"(20, 5, 5, 0)",5,"{(20, 5)}","{(15, 11, '?')}"
"(20, 5, 22, 0)",8,"{(20, 5, 22)}","{(15, '?', '?')}"
"(20, 5, 44, 0)",2,"{(20, 5, 44)}","{(15, '?', 4)}"
"(20, 5, 45, 0)",9,"{(45, 20, 5)}","{(15, '?', '?')}"
"(20, 5, 46, 0)",1,"{(20, 5, 46)}","{(15, 11, 13)}"
"(20, 44, 44, 0)",5,"{(20, 44)}","{(15, '?', '?')}"
"(20, 44, 45, 0)",2,"{(20, 45, 44)}","{(15, '?', '?')}"
"(21, 4, 4, 0)",12,"{(4, 21)}","{(6, '?', '?')}"
"(21, 4, 5, 0)",7,"{(5, 4, 21)}","{(6, '?', '?')}"
"(21, 4, 44, 0)",7,"{(4, 21, 44)}","{(6, '?', '?')}"
"(21, 5, 5, 0)",1,"{(5, 21)}","{(6, '?', '?')}"
"(21, 5, 22, 0)",6,"{(5, 21, 22)}","{(6, '?', '?')}"
"(21, 5, 45, 0)",1,"{(5, 45, 21)}","{(6, 0, 1)}"
"(21, 16, 5, 0)",2,"{(16, 5, 21)}","{(6, '?', '?')}"
"(21, 16, 16, 0)",5,"{(16, 21)}","{(6, '?', '?')}"
"(21, 21, 4, 0)",1,"{(4, 21)}","{(6, 10, 14)}"
"(21, 21, 5, 0)",3,"{(5, 21)}","{('?', '?', '?')}"
"(21, 21, 16, 0)",3,"{(16, 21)}","{(6, '?', '?')}"
"(21, 21, 21, 0)",1,"{(21,)}","{(6, 8, 12)}"
"(21, 21, 29, 0)",3,"{(29, 21)}","{(6, '?', '?')}"
"(21, 21, 31, 0)",7,"{(21, 31)}","{(6, '?', '?')}"
"(21, 21, 32, 0)",3,"{(32, 21)}","{(6, '?', '?')}"
"(21, 21, 39, 0)",8,"{(21, 39)}","{(6, '?', '?')}"
"(21, 22, 5, 0)",1,"{(5, 21, 22)}","{(6, 2, '?')}"
"(21, 23, 44, 0)",4,"{(44, 21, 23)}","{(6, '?', '?')}"
"(21, 24, 22, 0)",1,"{(24, 21, 22)}","{(6, 14, '?')}"
"(21, 29, 5, 0)",2,"{(29, 5, 21)}","{(6, '?', '?')}"
"(21, 29, 29, 0)",3,"{(29, 21)}","{(6, '?', '?')}"
"(21, 31, 5, 0)",3,"{(5, 21, 31)}","{(6, '?', '?')}"
"(21, 32, 14, 0)",2,"{(32, 21, 14)}","{(6, 10, '?')}"
"(21, 32, 21, 0)",3,"{(32, 21)}","{(6, '?', '?')}"
"(21, 32, 24, 0)",1,"{(32, 24, 21)}","{(6, 10, 5)}"
"(21, 32, 31, 0)",1,"{(32, 21, 31)}","{(6, 7, 6)}"
"(21, 32, 51, 0)",3,"{(32, 51, 21)}","{(6, '?', '?')}"
"(21, 39, 21, 0)",6,"{(21, 39)}","{(6, '?', '?')}"
"(21, 39, 31, 0)",4,"{(31, 21, 39)}","{(6, '?', '?')}"
"(21, 39, 32, 0)",1,"{(32, 21, 39)}","{(6, 8, 12)}"
"(21, 39, 39, 0)",5,"{(21, 39)}","{(6, '?', '?')}"
"(21, 44, 44, 0)",2,"{(44, 21)}","{(6, '?', 11)}"
"(21, 46, 5, 0)",3,"{(5, 21, 46)}","{(6, '?', '?')}"
"(21, 46, 22, 0)",4,"{(21, 46, 22)}","{(6, '?', '?')}"
"(21, 51, 16, 0)",2,"{(16, 51, 21)}","{(6, 9, '?')}"
"(21, 51, 32, 0)",1,"{(32, 51, 21)}","{(6, 13, 8)}"
"(22, 5, 2, 0)",1,"{(2, 5, 22)}","{(7, 14, 15)}"
"(22, 5, 5, 0)",13,"{(5, 22)}","{('?', '?', '?')}"
"(22, 5, 19, 0)",12,"{(19, 5, 22)}","{('?', '?', '?')}"
"(22, 5, 22, 0)",1,"{(5, 22)}","{(9, 0, '?')}"
"(22, 19, 19, 0)",17,"{(19, 22)}","{('?', '?', '?')}"
"(22, 19, 22, 0)",12,"{(19, 22)}","{('?', '?', '?')}"
"(22, 22, 2, 0)",6,"{(2, 22)}","{('?', '?', '?')}"
"(22, 22, 5, 0)",12,"{(5, 22)}","{('?', '?', '?')}"
"(22, 22, 12, 0)",2,"{(12, 22)}","{('?', '?', '?')}"
"(22, 22, 19, 0)",2,"{(19, 22)}","{(10, 14, '?')}"
"(22, 22, 22, 0)",10,"{(22,)}","{('?', '?', '?')}"
"(22, 22, 40, 0)",6,"{(40, 22)}","{('?', '?', '?')}"
"(22, 22, 41, 0)",8,"{(41, 22)}","{('?', '?', '?')}"
"(22, 28, 24, 0)",7,"{(24, 28, 22)}","{('?', '?', '?')}"
"(22, 36, 36, 0)",2,"{(36, 22)}","{('?', 14, '?')}"
"(22, 40, 22, 0)",11,"{(40, 22)}","{('?', '?', '?')}"
"(22, 40, 40, 0)",14,"{(40, 22)}","{('?', '?', '?')}"
"(22, 41, 22, 0)",1,"{(41, 22)}","{(0, 14, 6)}"
"(22, 41, 40, 0)",5,"{(40, 41, 22)}","{('?', '?', '?')}"
"(22, 42, 5, 0)",4,"{(42, 5, 22)}","{('?', '?', '?')}"
"(22, 42, 22, 0)",1,"{(42, 22)}","{('?', 2, 6)}"
"(22, 42, 35, 0)",1,"{(42, 35, 22)}","{('?', 0, 6)}"
"(22, 42, 40, 0)",10,"{(40, 42, 22)}","{('?', '?', '?')}"
"(22, 42, 41, 0)",2,"{(41, 42, 22)}","{('?', 2, '?')}"
"(22, 42, 42, 0)",1,"{(42, 22)}","{('?', 0, 6)}"
"(23, 5, 36, 0)",1,"{(36, 5, 23)}","{(7, '?', 14)}"
"(23, 5, 44, 0)",1,"{(44, 5, 23)}","{(9, '?', 4)}"
"(23, 5, 45, 0)",2,"{(45, 5, 23)}","{(0, 11, '?')}"
"(23, 19, 23, 0)",18,"{(19, 23)}","{('?', '?', '?')}"
"(23, 19, 36, 0)",15,"{(19, 36, 23)}","{('?', '?', '?')}"
"(23, 23, 19, 0)",2,"{(19, 23)}","{(12, '?', '?')}"
"(23, 23, 23, 0)",14,"{(23,)}","{('?', '?', '?')}"
"(23, 23, 45, 0)",6,"{(45, 23)}","{('?', '?', '?')}"
"(23, 36, 19, 0)",1,"{(19, 36, 23)}","{(10, '?', 13)}"
"(23, 36, 36, 0)",13,"{(36, 23)}","{('?', '?', '?')}"
"(23, 45, 45, 0)",4,"{(45, 23)}","{('?', 11, '?')}"
"(24, 17, 42, 0)",1,"{(24, 17, 42)}","{(6, 11, 6)}"
"(24, 22, 5, 0)",3,"{(24, 5, 22)}","{(6, '?', '?')}"
"(24, 22, 12, 0)",1,"{(24, 12, 22)}","{(6, 0, '?')}"
"(24, 22, 22, 0)",12,"{(24, 22)}","{(6, '?', '?')}"
"(24, 22, 24, 0)",4,"{(24, 22)}","{(6, '?', '?')}"
"(24, 22, 35, 0)",1,"{(24, 35, 22)}","{(6, 0, 6)}"
"(24, 22, 40, 0)",2,"{(24, 40, 22)}","{(6, '?', '?')}"
"(24, 22, 41, 0)",7,"{(24, 41, 22)}","{(6, '?', '?')}"
"(24, 28, 5, 0)",1,"{(24, 28, 5)}","{(6, 5, 10)}"
"(24, 28, 8, 0)",3,"{(24, 8, 28)}","{(6, '?', '?')}"
"(24, 28, 16, 0)",5,"{(24, 16, 28)}","{(6, '?', '?')}"
"(24, 29, 5, 0)",2,"{(24, 5, 29)}","{(6, '?', '?')}"
"(24, 35, 24, 0)",1,"{(24, 35)}","{(6, 0, 5)}"
"(24, 41, 5, 0)",4,"{(24, 41, 5)}","{(6, '?', '?')}"
"(24, 41, 8, 0)",3,"{(24, 41, 8)}","{(6, '?', '?')}"
"(24, 41, 22, 0)",6,"{(24, 41, 22)}","{(6, '?', '?')}"
"(24, 41, 24, 0)",4,"{(24, 41)}","{(6, '?', '?')}"
"(24, 42, 5, 0)",1,"{(24, 42, 5)}","{('?', 11, 15)}"
"(24, 42, 42, 0)",3,"{(24, 42)}","{('?', 11, '?')}"
"(24, 43, 5, 0)",2,"{(24, 43, 5)}","{(6, '?', '?')}"
"(24, 45, 45, 0)",1,"{(24, 45)}","{(6, 15, 13)}"
"(25, 4, 5, 0)",6,"{(25, 4, 5)}","{('?', '?', '?')}"
"(25, 4, 44, 0)",3,"{(25, 4, 44)}","{(6, '?', '?')}"
"(25, 5, 5, 0)",7,"{(25, 5)}","{('?', '?', '?')}"
"(25, 5, 44, 0)",3,"{(25, 44, 5)}","{('?', '?', '?')}"
"(25, 5, 45, 0)",1,"{(25, 45, 5)}","{(6, 0, 13)}"
"(25, 11, 25, 0)",1,"{(25, 11)}","{(2, '?', 14)}"
"(25, 17, 38, 0)",1,"{(38, 25, 17)}","{(2, 15, 14)}"
"(25, 25, 5, 0)",3,"{(25, 5)}","{(4, '?', '?')}"
"(25, 25, 17, 0)",1,"{(25, 17)}","{(5, '?', 3)}"
"(25, 25, 20, 0)",6,"{(25, 20)}","{('?', '?', '?')}"
"(25, 25, 25, 0)",9,"{(25,)}","{('?', '?', '?')}"
"(25, 25, 38, 0)",1,"{(25, 38)}","{(5, '?', 7)}"
"(25, 25, 44, 0)",3,"{(25, 44)}","{(4, '?', '?')}"
"(25, 38, 38, 0)",6,"{(25, 38)}","{('?', '?', '?')}"
"(25, 50, 44, 0)",1,"{(25, 50, 44)}","{(4, 15, 9)}"
"(26, 4, 4, 0)",1,"{(26, 4)}","{(15, 4, 3)}"
"(26, 5, 5, 0)",4,"{(26, 5)}","{(15, '?', '?')}"
"(26, 5, 16, 0)",1,"{(16, 26, 5)}","{(15, '?', 3)}"
"(26, 5, 42, 0)",1,"{(26, 42, 5)}","{(15, '?', 13)}"
"(26, 5, 44, 0)",2,"{(26, 44, 5)}","{(15, '?', '?')}"
"(26, 5, 45, 0)",1,"{(26, 45, 5)}","{(15, 0, 13)}"
"(26, 21, 4, 0)",1,"{(26, 4, 21)}","{(15, 13, 7)}"
"(26, 21, 5, 0)",10,"{(26, 5, 21)}","{(15, '?', '?')}"
"(26, 21, 44, 0)",5,"{(26, 44, 21)}","{(15, '?', '?')}"
"(26, 39, 4, 0)",14,"{(26, 4, 39)}","{(15, '?', '?')}"
"(26, 39, 5, 0)",1,"{(26, 5, 39)}","{(15, 7, 3)}"
"(26, 39, 7, 0)",1,"{(26, 7, 39)}","{(15, 10, 1)}"
"(26, 39, 20, 0)",1,"{(26, 20, 39)}","{(15, 10, 11)}"
"(26, 39, 44, 0)",10,"{(26, 44, 39)}","{(15, '?', '?')}"
"(26, 39, 46, 0)",4,"{(26, 46, 39)}","{(15, '?', '?')}"
"(26, 44, 44, 0)",1,"{(26, 44)}","{(15, 12, 1)}"
"(26, 46, 16, 0)",1,"{(16, 26, 46)}","{(15, 9, 14)}"
"(27, 2, 2, 0)",1,"{(2, 27)}","{(7, '?', 12)}"
"(27, 2, 5, 0)",5,"{(2, 27, 5)}","{(14, '?', '?')}"
"(27, 5, 2, 0)",5,"{(2, 27, 5)}","{('?', '?', '?')}"
"(27, 5, 5, 0)",6,"{(27, 5)}","{('?', '?', '?')}"
"(27, 6, 5, 0)",4,"{(27, 5, 6)}","{('?', '?', '?')}"
"(27, 6, 29, 0)",7,"{(27, 29, 6)}","{('?', '?', '?')}"
"(27, 6, 32, 0)",1,"{(32, 27, 6)}","{(9, 13, 5)}"
"(27, 10, 9, 0)",1,"{(9, 10, 27)}","{(10, 7, '?')}"
"(27, 10, 10, 0)",1,"{(10, 27)}","{(10, 6, 15)}"
"(27, 10, 27, 0)",15,"{(10, 27)}","{('?', '?', '?')}"
"(27, 10, 34, 0)",4,"{(10, 27, 34)}","{('?', '?', '?')}"
"(27, 10, 48, 0)",1,"{(48, 10, 27)}","{(12, 7, 15)}"
"(27, 12, 6, 0)",8,"{(27, 12, 6)}","{('?', '?', '?')}"
"(27, 12, 9, 0)",8,"{(9, 27, 12)}","{('?', '?', '?')}"
"(27, 12, 12, 0)",12,"{(27, 12)}","{('?', '?', '?')}"
"(27, 12, 27, 0)",2,"{(27, 12)}","{('?', '?', '?')}"
"(27, 13, 13, 0)",2,"{(27, 13)}","{(9, '?', 10)}"
"(27, 13, 27, 0)",4,"{(27, 13)}","{(0, '?', '?')}"
"(27, 19, 2, 0)",2,"{(19, 2, 27)}","{('?', '?', '?')}"
"(27, 19, 5, 0)",5,"{(19, 27, 5)}","{('?', '?', '?')}"
"(27, 22, 5, 0)",3,"{(27, 5, 22)}","{(14, 11, '?')}"
"(27, 27, 10, 0)",2,"{(10, 27)}","{(1, '?', 12)}"
"(27, 27, 27, 0)",11,"{(27,)}","{('?', '?', '?')}"
"(27, 27, 34, 0)",8,"{(34, 27)}","{('?', '?', '?')}"
"(27, 27, 39, 0)",4,"{(27, 39)}","{(14, '?', '?')}"
"(27, 28, 5, 0)",1,"{(27, 28, 5)}","{(9, '?', 6)}"
"(27, 29, 29, 0)",1,"{(27, 29)}","{('?', 7, 5)}"
"(27, 35, 22, 0)",1,"{(35, 27, 22)}","{(14, 11, 15)}"
"(27, 41, 5, 0)",4,"{(41, 27, 5)}","{(14, '?', '?')}"
"(27, 41, 22, 0)",1,"{(41, 27, 22)}","{(14, 11, 6)}"
"(27, 43, 5, 0)",2,"{(43, 27, 5)}","{('?', '?', 6)}"
"(27, 43, 29, 0)",3,"{(43, 27, 29)}","{(14, '?', '?')}"
"(28, 2, 2, 0)",14,"{(2, 28)}","{('?', '?', '?')}"
"(28, 2, 5, 0)",10,"{(2, 28, 5)}","{('?', '?', '?')}"
"(28, 2, 19, 0)",6,"{(2, 19, 28)}","{('?', '?', '?')}"
"(28, 5, 2, 0)",8,"{(2, 28, 5)}","{('?', '?', '?')}"
"(28, 5, 5, 0)",10,"{(28, 5)}","{('?', '?', '?')}"
"(28, 8, 2, 0)",2,"{(8, 2, 28)}","{('?', 5, '?')}"
"(28, 8, 28, 0)",6,"{(8, 28)}","{('?', '?', '?')}"
"(28, 16, 5, 0)",1,"{(16, 28, 5)}","{(0, 12, 12)}"
"(28, 19, 2, 0)",17,"{(2, 19, 28)}","{('?', '?', '?')}"
"(28, 19, 19, 0)",12,"{(19, 28)}","{('?', '?', '?')}"
"(28, 19, 22, 0)",10,"{(19, 28, 22)}","{('?', 11, '?')}"
"(28, 19, 48, 0)",8,"{(48, 19, 28)}","{('?', '?', '?')}"
"(28, 22, 2, 0)",6,"{(2, 28, 22)}","{('?', 11, '?')}"
"(28, 22, 5, 0)",6,"{(28, 5, 22)}","{('?', 11, '?')}"
"(28, 22, 19, 0)",3,"{(19, 28, 22)}","{('?', 11, '?')}"
"(28, 28, 2, 0)",7,"{(2, 28)}","{('?', '?', '?')}"
"(28, 28, 5, 0)",7,"{(28, 5)}","{('?', '?', '?')}"
"(28, 28, 22, 0)",4,"{(28, 22)}","{('?', 11, '?')}"
"(28, 28, 24, 0)",1,"{(24, 28)}","{(0, 15, 5)}"
"(28, 28, 40, 0)",3,"{(40, 28)}","{('?', 11, '?')}"
"(28, 35, 35, 0)",1,"{(35, 28)}","{(0, 15, 5)}"
