message,count,symbols,fixed attribute values
"(4, 5, 44, 0)",1,"{(4, 5, 44)}","{('?', '?', 4)}"
"(4, 44, 44, 0)",3,"{(4, 44)}","{('?', '?', '?')}"
"(5, 2, 2, 0)",4,"{(2, 5)}","{('?', '?', '?')}"
"(5, 2, 19, 0)",2,"{(2, 19, 5)}","{('?', 11, '?')}"
"(5, 2, 22, 0)",1,"{(2, 5, 22)}","{(0, 11, '?')}"
"(5, 2, 28, 0)",3,"{(2, 28, 5)}","{('?', '?', '?')}"
"(5, 2, 45, 0)",1,"{(2, 45, 5)}","{(0, 11, 7)}"
"(5, 4, 5, 0)",9,"{(4, 5)}","{('?', '?', '?')}"
"(5, 4, 36, 0)",1,"{(4, 5, 36)}","{(7, 11, 3)}"
"(5, 5, 2, 0)",1,"{(2, 5)}","{(1, 5, '?')}"
"(5, 5, 5, 0)",8,"{(5,)}","{('?', '?', '?')}"
"(5, 5, 22, 0)",6,"{(5, 22)}","{('?', '?', '?')}"
"(5, 5, 28, 0)",3,"{(28, 5)}","{('?', '?', '?')}"
"(5, 5, 38, 0)",5,"{(5, 38)}","{(14, 11, '?')}"
"(5, 5, 40, 0)",3,"{(40, 5)}","{('?', '?', '?')}"
"(5, 5, 45, 0)",6,"{(45, 5)}","{('?', '?', '?')}"
"(5, 16, 2, 0)",1,"{(16, 2, 5)}","{(1, 5, '?')}"
"(5, 16, 5, 0)",2,"{(16, 5)}","{('?', '?', '?')}"
"(5, 19, 16, 0)",1,"{(16, 19, 5)}","{(11, 5, '?')}"
"(5, 19, 23, 0)",6,"{(19, 5, 23)}","{('?', '?', '?')}"
"(5, 19, 36, 0)",18,"{(19, 36, 5)}","{('?', '?', '?')}"
"(5, 19, 40, 0)",5,"{(40, 19, 5)}","{('?', '?', '?')}"
"(5, 19, 47, 0)",2,"{(19, 5, 47)}","{(13, 14, '?')}"
"(5, 19, 48, 0)",3,"{(48, 19, 5)}","{('?', '?', '?')}"
"(5, 20, 44, 0)",1,"{(20, 5, 44)}","{('?', 11, 4)}"
"(5, 22, 2, 0)",13,"{(2, 5, 22)}","{('?', '?', '?')}"
"(5, 22, 5, 0)",23,"{(5, 22)}","{('?', '?', '?')}"
"(5, 22, 19, 0)",21,"{(19, 5, 22)}","{('?', '?', '?')}"
"(5, 22, 22, 0)",19,"{(5, 22)}","{('?', '?', '?')}"
"(5, 22, 36, 0)",5,"{(36, 5, 22)}","{('?', '?', '?')}"
"(5, 22, 40, 0)",9,"{(40, 5, 22)}","{('?', '?', '?')}"
"(5, 22, 41, 0)",1,"{(41, 5, 22)}","{(1, 14, 7)}"
"(5, 22, 42, 0)",1,"{(42, 5, 22)}","{(7, 2, 3)}"
"(5, 22, 44, 0)",1,"{(44, 5, 22)}","{(9, 14, 11)}"
"(5, 22, 45, 0)",11,"{(45, 5, 22)}","{('?', 11, '?')}"
"(5, 23, 19, 0)",3,"{(19, 5, 23)}","{('?', 5, 11)}"
"(5, 23, 23, 0)",4,"{(5, 23)}","{('?', 5, '?')}"
"(5, 23, 45, 0)",5,"{(45, 5, 23)}","{('?', '?', '?')}"
"(5, 28, 19, 0)",1,"{(19, 28, 5)}","{(10, 11, '?')}"
"(5, 30, 19, 0)",1,"{(19, 5, 30)}","{(11, 14, 11)}"
"(5, 36, 19, 0)",10,"{(19, 36, 5)}","{('?', 11, '?')}"
"(5, 36, 36, 0)",18,"{(36, 5)}","{('?', '?', '?')}"
"(5, 36, 45, 0)",4,"{(45, 36, 5)}","{('?', '?', '?')}"
"(5, 40, 5, 0)",1,"{(40, 5)}","{(13, 14, 3)}"
"(5, 40, 19, 0)",2,"{(40, 19, 5)}","{(13, 14, '?')}"
"(5, 40, 22, 0)",6,"{(40, 5, 22)}","{('?', '?', '?')}"
"(5, 40, 40, 0)",10,"{(40, 5)}","{('?', '?', '?')}"
"(5, 42, 40, 0)",1,"{(40, 42, 5)}","{(7, 15, 5)}"
"(5, 44, 44, 0)",6,"{(44, 5)}","{('?', '?', '?')}"
"(5, 44, 45, 0)",11,"{(45, 44, 5)}","{('?', '?', '?')}"
"(5, 45, 5, 0)",2,"{(45, 5)}","{('?', 15, 1)}"
"(5, 45, 22, 0)",19,"{(45, 5, 22)}","{('?', '?', '?')}"
"(5, 45, 45, 0)",9,"{(45, 5)}","{('?', '?', '?')}"
"(5, 46, 45, 0)",1,"{(45, 5, 46)}","{(14, 11, 1)}"
"(5, 47, 19, 0)",1,"{(19, 5, 47)}","{(12, 2, 3)}"
"(6, 6, 5, 0)",1,"{(5, 6)}","{(9, '?', 2)}"
"(6, 6, 6, 0)",5,"{(6,)}","{('?', '?', '?')}"
"(6, 6, 14, 0)",6,"{(6, 14)}","{('?', '?', 2)}"
"(6, 6, 47, 0)",7,"{(6, 47)}","{('?', '?', '?')}"
"(6, 12, 5, 0)",3,"{(12, 5, 6)}","{('?', '?', '?')}"
"(6, 12, 6, 0)",11,"{(12, 6)}","{('?', '?', '?')}"
"(6, 12, 12, 0)",1,"{(12, 6)}","{(12, 6, 2)}"
"(6, 12, 14, 0)",3,"{(12, 6, 14)}","{(7, '?', 2)}"
"(6, 12, 27, 0)",4,"{(27, 12, 6)}","{('?', '?', '?')}"
"(6, 12, 32, 0)",4,"{(32, 12, 6)}","{('?', '?', '?')}"
"(6, 12, 47, 0)",2,"{(12, 6, 47)}","{('?', '?', 2)}"
"(6, 13, 6, 0)",3,"{(13, 6)}","{(9, '?', '?')}"
"(6, 13, 32, 0)",1,"{(32, 13, 6)}","{(0, 8, 0)}"
"(6, 14, 13, 0)",2,"{(13, 6, 14)}","{(9, '?', 2)}"
"(6, 14, 14, 0)",5,"{(6, 14)}","{('?', '?', 2)}"
"(6, 18, 47, 0)",2,"{(18, 6, 47)}","{(9, '?', 2)}"
"(6, 22, 12, 0)",3,"{(12, 6, 22)}","{('?', 14, '?')}"
"(6, 22, 24, 0)",1,"{(24, 6, 22)}","{(9, 14, 8)}"
"(6, 22, 40, 0)",9,"{(40, 6, 22)}","{('?', '?', '?')}"
"(6, 22, 41, 0)",8,"{(41, 6, 22)}","{('?', '?', '?')}"
"(6, 27, 6, 0)",4,"{(27, 6)}","{('?', '?', '?')}"
"(6, 27, 31, 0)",1,"{(27, 6, 31)}","{(9, '?', 0)}"
"(6, 28, 2, 0)",4,"{(2, 28, 6)}","{('?', '?', 8)}"
"(6, 28, 5, 0)",6,"{(28, 5, 6)}","{('?', '?', '?')}"
"(6, 28, 12, 0)",2,"{(28, 12, 6)}","{('?', 11, 0)}"
"(6, 28, 22, 0)",2,"{(28, 6, 22)}","{('?', 11, 8)}"
"(6, 28, 24, 0)",6,"{(24, 28, 6)}","{('?', '?', '?')}"
"(6, 28, 31, 0)",1,"{(28, 6, 31)}","{(9, '?', 0)}"
"(6, 28, 40, 0)",10,"{(40, 28, 6)}","{('?', '?', '?')}"
"(6, 31, 5, 0)",3,"{(5, 6, 31)}","{('?', '?', '?')}"
"(6, 32, 6, 0)",15,"{(32, 6)}","{('?', '?', '?')}"
"(6, 32, 10, 0)",1,"{(32, 10, 6)}","{(1, 8, 8)}"
"(6, 32, 12, 0)",12,"{(32, 12, 6)}","{('?', '?', '?')}"
"(6, 35, 35, 0)",1,"{(35, 6)}","{(0, 0, 0)}"
"(6, 43, 5, 0)",1,"{(43, 5, 6)}","{(9, '?', 2)}"
"(6, 43, 6, 0)",1,"{(43, 6)}","{(9, 6, 2)}"
"(6, 43, 43, 0)",2,"{(43, 6)}","{(14, '?', 2)}"
"(6, 47, 5, 0)",2,"{(5, 6, 47)}","{('?', '?', 2)}"
"(6, 47, 6, 0)",4,"{(6, 47)}","{('?', '?', '?')}"
"(6, 47, 47, 0)",5,"{(6, 47)}","{('?', '?', '?')}"
"(7, 7, 7, 0)",5,"{(7,)}","{(13, '?', '?')}"
"(7, 7, 10, 0)",12,"{(10, 7)}","{(13, '?', '?')}"
"(7, 7, 23, 0)",1,"{(23, 7)}","{(13, 13, 11)}"
"(7, 10, 7, 0)",5,"{(10, 7)}","{(13, '?', '?')}"
"(7, 10, 23, 0)",1,"{(10, 23, 7)}","{(13, 8, 9)}"
"(7, 19, 30, 0)",1,"{(19, 30, 7)}","{(13, 9, 7)}"
"(7, 23, 10, 0)",8,"{(10, 23, 7)}","{(13, '?', '?')}"
"(8, 5, 5, 0)",3,"{(8, 5)}","{('?', 5, '?')}"
"(8, 8, 5, 0)",10,"{(8, 5)}","{('?', '?', '?')}"
"(8, 16, 5, 0)",6,"{(8, 16, 5)}","{('?', '?', '?')}"
"(8, 19, 2, 0)",3,"{(8, 2, 19)}","{(13, '?', '?')}"
"(8, 19, 5, 0)",4,"{(8, 19, 5)}","{(13, '?', '?')}"
"(8, 19, 19, 0)",2,"{(8, 19)}","{(13, 3, '?')}"
"(8, 22, 5, 0)",2,"{(8, 5, 22)}","{(15, 11, '?')}"
"(8, 22, 22, 0)",4,"{(8, 22)}","{(15, '?', '?')}"
"(8, 22, 41, 0)",3,"{(8, 41, 22)}","{(15, '?', '?')}"
