message,count,symbols,fixed attribute values
"(1, 1, 1, 0)",4,"{(1,)}","{('?', '?', 5)}"
"(1, 2, 1, 0)",1,"{(1, 2)}","{(1, 7, 1)}"
"(1, 2, 10, 0)",2,"{(1, 2, 10)}","{('?', '?', 1)}"
"(1, 2, 14, 0)",2,"{(1, 2, 14)}","{('?', 3, '?')}"
"(1, 2, 22, 0)",1,"{(1, 2, 22)}","{(5, 4, 1)}"
"(1, 2, 26, 0)",1,"{(1, 2, 26)}","{(1, 1, 1)}"
"(1, 2, 27, 0)",2,"{(1, 2, 27)}","{('?', 6, 1)}"
"(1, 10, 1, 0)",2,"{(1, 10)}","{(1, '?', 5)}"
"(1, 10, 10, 0)",3,"{(1, 10)}","{('?', '?', 5)}"
"(1, 10, 11, 0)",4,"{(1, 10, 11)}","{('?', '?', 5)}"
"(1, 10, 14, 0)",2,"{(1, 10, 14)}","{('?', 3, 5)}"
"(1, 10, 26, 0)",1,"{(1, 10, 26)}","{(1, 5, 5)}"
"(1, 11, 11, 0)",5,"{(1, 11)}","{('?', '?', '?')}"
"(1, 13, 26, 0)",1,"{(1, 26, 13)}","{(5, 0, 5)}"
"(1, 14, 1, 0)",2,"{(1, 14)}","{('?', 4, 5)}"
"(1, 14, 14, 0)",2,"{(1, 14)}","{('?', '?', 5)}"
"(1, 20, 10, 0)",1,"{(1, 10, 20)}","{(5, 3, '?')}"
"(1, 20, 14, 0)",3,"{(1, 20, 14)}","{(0, '?', '?')}"
"(1, 20, 20, 0)",1,"{(1, 20)}","{(0, 3, '?')}"
"(1, 20, 22, 0)",3,"{(1, 20, 22)}","{('?', '?', 3)}"
"(1, 21, 26, 0)",1,"{(1, 26, 21)}","{(1, 0, 5)}"
"(1, 22, 14, 0)",3,"{(1, 22, 14)}","{('?', '?', '?')}"
"(1, 22, 22, 0)",3,"{(1, 22)}","{('?', '?', '?')}"
"(1, 23, 14, 0)",2,"{(1, 14, 23)}","{(5, 3, '?')}"
"(1, 26, 26, 0)",2,"{(1, 26)}","{('?', 0, 5)}"
"(1, 27, 1, 0)",5,"{(1, 27)}","{('?', '?', '?')}"
"(2, 1, 10, 0)",1,"{(1, 2, 10)}","{(1, 7, 3)}"
"(2, 2, 1, 0)",2,"{(1, 2)}","{(1, 6, '?')}"
"(2, 2, 2, 0)",3,"{(2,)}","{('?', '?', '?')}"
"(2, 2, 3, 0)",1,"{(2, 3)}","{(0, '?', 4)}"
"(2, 2, 10, 0)",4,"{(2, 10)}","{('?', '?', 3)}"
"(2, 2, 11, 0)",1,"{(2, 11)}","{(5, 5, '?')}"
"(2, 2, 14, 0)",1,"{(2, 14)}","{(5, 3, 4)}"
"(2, 2, 17, 0)",2,"{(17, 2)}","{(1, '?', '?')}"
"(2, 2, 26, 0)",2,"{(2, 26)}","{(1, 5, '?')}"
"(2, 2, 27, 0)",3,"{(2, 27)}","{('?', 6, '?')}"
"(2, 3, 3, 0)",2,"{(2, 3)}","{('?', 7, 4)}"
"(2, 4, 2, 0)",1,"{(2, 4)}","{(1, '?', 2)}"
"(2, 4, 4, 0)",1,"{(2, 4)}","{(1, '?', 2)}"
"(2, 4, 6, 0)",1,"{(2, 4, 6)}","{(1, 3, 2)}"
"(2, 4, 8, 0)",1,"{(8, 2, 4)}","{(1, 0, 2)}"
"(2, 4, 17, 0)",1,"{(17, 2, 4)}","{(1, 1, 2)}"
"(2, 4, 19, 0)",1,"{(2, 19, 4)}","{(1, 5, 2)}"
"(2, 4, 27, 0)",2,"{(2, 27, 4)}","{(1, '?', 2)}"
"(2, 5, 2, 0)",2,"{(2, 5)}","{('?', '?', 2)}"
"(2, 5, 17, 0)",3,"{(17, 2, 5)}","{('?', '?', 2)}"
"(2, 5, 27, 0)",4,"{(2, 27, 5)}","{('?', '?', 2)}"
"(2, 6, 4, 0)",1,"{(2, 4, 6)}","{(1, 3, 2)}"
