message,count,symbols,fixed attribute values
"(2, 8, 8, 0)",2,"{(8, 2)}","{('?', 0, 2)}"
"(2, 9, 9, 0)",2,"{(9, 2)}","{('?', 5, 4)}"
"(2, 10, 1, 0)",1,"{(1, 2, 10)}","{(1, 7, 3)}"
"(2, 10, 2, 0)",1,"{(2, 10)}","{(0, '?', 3)}"
"(2, 10, 10, 0)",2,"{(2, 10)}","{('?', '?', 3)}"
"(2, 10, 26, 0)",1,"{(26, 2, 10)}","{(1, 5, 3)}"
"(2, 11, 11, 0)",1,"{(2, 11)}","{(0, 5, '?')}"
"(2, 13, 13, 0)",1,"{(2, 13)}","{(5, 0, 4)}"
"(2, 14, 14, 0)",1,"{(2, 14)}","{(0, 4, 4)}"
"(2, 17, 11, 0)",2,"{(17, 2, 11)}","{('?', 5, '?')}"
"(2, 17, 17, 0)",1,"{(17, 2)}","{(1, 0, '?')}"
"(2, 22, 7, 0)",1,"{(2, 22, 7)}","{(5, 2, 4)}"
"(2, 22, 14, 0)",3,"{(2, 22, 14)}","{('?', '?', 4)}"
"(2, 22, 20, 0)",1,"{(2, 20, 22)}","{(1, 2, 4)}"
"(2, 23, 1, 0)",1,"{(1, 2, 23)}","{(1, 7, 3)}"
"(2, 23, 3, 0)",2,"{(2, 3, 23)}","{(1, '?', 4)}"
"(2, 23, 9, 0)",2,"{(9, 2, 23)}","{(1, '?', 4)}"
"(2, 23, 13, 0)",1,"{(2, 13, 23)}","{(1, 0, 4)}"
"(2, 23, 14, 0)",1,"{(2, 14, 23)}","{(0, 3, 4)}"
"(2, 23, 17, 0)",1,"{(17, 2, 23)}","{(1, 1, 4)}"
"(2, 23, 21, 0)",2,"{(2, 21, 23)}","{(1, '?', 4)}"
"(2, 23, 23, 0)",1,"{(2, 23)}","{(1, '?', 4)}"
"(2, 23, 26, 0)",1,"{(2, 26, 23)}","{(1, 5, 3)}"
"(2, 23, 27, 0)",1,"{(2, 27, 23)}","{(1, 7, 4)}"
"(2, 26, 26, 0)",1,"{(2, 26)}","{(1, 0, 1)}"
"(2, 27, 1, 0)",5,"{(1, 2, 27)}","{('?', '?', '?')}"
"(2, 27, 2, 0)",3,"{(2, 27)}","{('?', '?', '?')}"
"(2, 27, 3, 0)",3,"{(3, 2, 27)}","{('?', '?', 4)}"
"(2, 27, 27, 0)",3,"{(2, 27)}","{('?', '?', '?')}"
"(3, 3, 3, 0)",2,"{(3,)}","{(2, '?', 4)}"
"(3, 3, 12, 0)",1,"{(3, 12)}","{(6, 7, 4)}"
"(3, 13, 13, 0)",1,"{(3, 13)}","{(2, 0, 4)}"
"(3, 27, 3, 0)",1,"{(27, 3)}","{(6, 7, 4)}"
"(3, 27, 12, 0)",1,"{(27, 3, 12)}","{(6, 7, 4)}"
"(4, 4, 4, 0)",2,"{(4,)}","{('?', '?', '?')}"
"(4, 4, 7, 0)",1,"{(4, 7)}","{(3, 3, 7)}"
"(4, 4, 14, 0)",3,"{(4, 14)}","{('?', 3, '?')}"
"(4, 4, 16, 0)",2,"{(16, 4)}","{(3, '?', '?')}"
"(4, 4, 17, 0)",3,"{(17, 4)}","{('?', '?', '?')}"
"(4, 4, 21, 0)",4,"{(4, 21)}","{('?', '?', '?')}"
"(4, 4, 23, 0)",3,"{(4, 23)}","{('?', '?', '?')}"
"(4, 4, 24, 0)",5,"{(24, 4)}","{('?', '?', '?')}"
"(4, 4, 26, 0)",1,"{(26, 4)}","{(3, 5, 0)}"
"(4, 6, 4, 0)",1,"{(4, 6)}","{('?', 3, 7)}"
"(4, 6, 6, 0)",1,"{(4, 6)}","{(3, 4, 7)}"
"(4, 6, 7, 0)",1,"{(4, 6, 7)}","{(3, 4, 7)}"
"(4, 6, 16, 0)",5,"{(16, 4, 6)}","{('?', '?', '?')}"
"(4, 6, 22, 0)",2,"{(4, 6, 22)}","{(2, 4, '?')}"
"(4, 7, 4, 0)",1,"{(4, 7)}","{(3, 3, 6)}"
"(4, 7, 6, 0)",3,"{(4, 6, 7)}","{('?', '?', '?')}"
"(4, 7, 7, 0)",2,"{(4, 7)}","{(3, 2, '?')}"
"(4, 7, 16, 0)",1,"{(16, 4, 7)}","{(4, 2, 7)}"
"(4, 7, 22, 0)",3,"{(4, 22, 7)}","{('?', '?', '?')}"
"(4, 8, 8, 0)",3,"{(8, 4)}","{('?', 0, '?')}"
"(4, 8, 17, 0)",1,"{(8, 17, 4)}","{(3, 0, 0)}"
"(4, 13, 8, 0)",1,"{(8, 4, 13)}","{(2, 0, 6)}"
"(4, 13, 17, 0)",2,"{(17, 4, 13)}","{(2, 0, '?')}"
"(4, 16, 2, 0)",2,"{(16, 2, 4)}","{(1, '?', '?')}"
"(4, 16, 16, 0)",2,"{(16, 4)}","{(4, '?', '?')}"
"(4, 16, 17, 0)",1,"{(16, 17, 4)}","{(4, 0, 0)}"
"(4, 16, 18, 0)",1,"{(16, 18, 4)}","{(4, 6, 0)}"
"(4, 16, 24, 0)",2,"{(16, 24, 4)}","{(4, '?', 0)}"
"(4, 21, 17, 0)",2,"{(17, 4, 21)}","{('?', 5, '?')}"
"(4, 21, 21, 0)",4,"{(4, 21)}","{('?', '?', '?')}"
"(4, 22, 7, 0)",1,"{(4, 22, 7)}","{(2, 4, 6)}"
"(4, 22, 22, 0)",1,"{(4, 22)}","{(2, 4, 0)}"
"(4, 22, 23, 0)",1,"{(4, 22, 23)}","{(2, 3, 0)}"
"(4, 23, 14, 0)",2,"{(4, 14, 23)}","{('?', 3, '?')}"
"(4, 23, 17, 0)",2,"{(17, 4, 23)}","{(2, 5, '?')}"
"(4, 23, 18, 0)",2,"{(18, 4, 23)}","{(2, '?', '?')}"
"(4, 23, 23, 0)",3,"{(4, 23)}","{('?', '?', 0)}"
"(4, 23, 26, 0)",1,"{(26, 4, 23)}","{(2, 5, 0)}"
"(4, 24, 11, 0)",1,"{(24, 11, 4)}","{(4, 5, 6)}"
"(4, 24, 17, 0)",2,"{(24, 17, 4)}","{(4, 0, '?')}"
"(4, 24, 24, 0)",3,"{(24, 4)}","{(4, '?', '?')}"
"(4, 27, 3, 0)",3,"{(3, 27, 4)}","{(3, '?', '?')}"
"(4, 27, 27, 0)",2,"{(27, 4)}","{(4, 7, '?')}"
"(5, 2, 17, 0)",1,"{(17, 2, 5)}","{(5, 1, 2)}"
"(5, 5, 17, 0)",3,"{(17, 5)}","{('?', '?', 2)}"
"(5, 8, 17, 0)",1,"{(8, 17, 5)}","{('?', 5, 2)}"
"(5, 17, 17, 0)",1,"{(17, 5)}","{('?', 1, 2)}"
"(5, 27, 3, 0)",2,"{(3, 27, 5)}","{('?', '?', 2)}"
"(5, 27, 27, 0)",2,"{(27, 5)}","{('?', '?', 2)}"
"(6, 2, 6, 0)",1,"{(2, 6)}","{(1, 4, 2)}"
"(6, 2, 22, 0)",1,"{(2, 6, 22)}","{(1, 4, 2)}"
"(6, 4, 6, 0)",1,"{(4, 6)}","{('?', 3, 7)}"
"(6, 6, 4, 0)",3,"{(4, 6)}","{('?', 3, '?')}"
"(6, 6, 6, 0)",6,"{(6,)}","{('?', '?', '?')}"
"(6, 6, 7, 0)",1,"{(6, 7)}","{('?', 3, 7)}"
"(6, 6, 14, 0)",3,"{(6, 14)}","{('?', 3, 0)}"
"(6, 6, 16, 0)",6,"{(16, 6)}","{('?', '?', '?')}"
"(6, 6, 20, 0)",2,"{(20, 6)}","{('?', 3, 0)}"
"(6, 6, 22, 0)",1,"{(6, 22)}","{(1, 3, 0)}"
"(6, 12, 7, 0)",2,"{(12, 6, 7)}","{('?', 2, '?')}"
"(6, 12, 14, 0)",1,"{(12, 6, 14)}","{(7, 4, 0)}"
"(6, 12, 22, 0)",5,"{(12, 6, 22)}","{('?', '?', '?')}"
"(6, 14, 20, 0)",1,"{(20, 6, 14)}","{(0, 3, 0)}"
"(6, 16, 6, 0)",8,"{(16, 6)}","{('?', '?', '?')}"
"(6, 16, 7, 0)",8,"{(16, 6, 7)}","{('?', '?', '?')}"
"(6, 16, 14, 0)",3,"{(16, 6, 14)}","{('?', 2, 0)}"
"(6, 16, 16, 0)",2,"{(16, 6)}","{(1, '?', '?')}"
"(6, 16, 22, 0)",3,"{(16, 6, 22)}","{('?', '?', 0)}"
"(6, 16, 27, 0)",1,"{(16, 27, 6)}","{(1, 7, 6)}"
"(6, 20, 14, 0)",4,"{(20, 6, 14)}","{('?', '?', 0)}"
"(6, 20, 20, 0)",1,"{(20, 6)}","{(0, 4, 2)}"
"(6, 20, 22, 0)",2,"{(20, 6, 22)}","{('?', '?', '?')}"
"(6, 22, 7, 0)",1,"{(7, 6, 22)}","{(2, 2, 0)}"
"(6, 22, 12, 0)",1,"{(12, 6, 22)}","{(2, 2, 0)}"
"(6, 22, 15, 0)",1,"{(15, 6, 22)}","{(2, 2, 0)}"
"(6, 22, 22, 0)",1,"{(6, 22)}","{(6, 4, 0)}"
"(7, 4, 6, 0)",1,"{(4, 6, 7)}","{('?', 3, 2)}"
"(7, 4, 14, 0)",1,"{(4, 14, 7)}","{('?', 3, 2)}"
"(7, 4, 22, 0)",1,"{(4, 22, 7)}","{(2, 2, 2)}"
"(7, 6, 4, 0)",1,"{(4, 6, 7)}","{('?', 3, 2)}"
"(7, 6, 7, 0)",1,"{(6, 7)}","{('?', 2, 2)}"
"(7, 6, 22, 0)",2,"{(22, 6, 7)}","{('?', 2, 2)}"
"(7, 16, 7, 0)",2,"{(16, 7)}","{(7, 2, '?')}"
"(7, 22, 7, 0)",2,"{(22, 7)}","{('?', 2, 4)}"
"(7, 22, 20, 0)",1,"{(20, 22, 7)}","{(2, 2, '?')}"
"(8, 8, 8, 0)",1,"{(8,)}","{('?', 0, 2)}"
"(8, 8, 17, 0)",1,"{(8, 17)}","{(0, 0, 2)}"
"(10, 10, 1, 0)",1,"{(1, 10)}","{('?', 6, 5)}"
"(10, 10, 2, 0)",1,"{(10, 2)}","{('?', '?', 1)}"
"(10, 10, 10, 0)",2,"{(10,)}","{('?', '?', '?')}"
"(10, 10, 11, 0)",1,"{(10, 11)}","{('?', 1, 5)}"
"(10, 10, 14, 0)",3,"{(10, 14)}","{('?', 3, '?')}"
"(10, 10, 17, 0)",2,"{(17, 10)}","{('?', '?', 1)}"
"(10, 10, 26, 0)",3,"{(10, 26)}","{('?', '?', '?')}"
"(10, 14, 14, 0)",1,"{(10, 14)}","{('?', 2, 5)}"
"(10, 17, 17, 0)",1,"{(17, 10)}","{('?', 5, 1)}"
"(10, 17, 26, 0)",1,"{(17, 10, 26)}","{('?', 5, 1)}"
"(10, 26, 17, 0)",1,"{(17, 10, 26)}","{('?', 5, 3)}"
"(10, 26, 26, 0)",1,"{(10, 26)}","{('?', 1, 3)}"
"(11, 11, 11, 0)",6,"{(11,)}","{('?', '?', '?')}"
"(11, 11, 26, 0)",2,"{(26, 11)}","{('?', '?', 3)}"
"(12, 3, 3, 0)",2,"{(3, 12)}","{(6, '?', 4)}"
"(12, 5, 5, 0)",1,"{(12, 5)}","{(6, '?', 2)}"
"(12, 5, 7, 0)",1,"{(12, 5, 7)}","{(6, 2, 2)}"
"(12, 5, 8, 0)",1,"{(8, 12, 5)}","{(7, 0, 2)}"
"(12, 5, 13, 0)",1,"{(13, 12, 5)}","{(7, 0, 2)}"
"(12, 5, 14, 0)",1,"{(12, 5, 14)}","{(6, 3, 2)}"
"(12, 5, 17, 0)",2,"{(17, 12, 5)}","{('?', '?', 2)}"
"(12, 5, 27, 0)",3,"{(27, 12, 5)}","{('?', '?', 2)}"
"(12, 6, 4, 0)",1,"{(12, 4, 6)}","{('?', 3, 2)}"
"(12, 6, 6, 0)",1,"{(12, 6)}","{(7, 4, 2)}"
"(12, 6, 7, 0)",1,"{(12, 6, 7)}","{('?', 3, 2)}"
"(12, 6, 22, 0)",1,"{(12, 6, 22)}","{(7, 4, 2)}"
"(12, 7, 4, 0)",1,"{(12, 4, 7)}","{(7, 3, 2)}"
"(12, 7, 5, 0)",2,"{(12, 5, 7)}","{('?', 2, 2)}"
"(12, 7, 6, 0)",1,"{(12, 6, 7)}","{(7, 3, 2)}"
"(12, 7, 12, 0)",1,"{(12, 7)}","{(7, 2, '?')}"
"(12, 7, 16, 0)",2,"{(16, 12, 7)}","{('?', 3, '?')}"
"(12, 7, 23, 0)",2,"{(12, 23, 7)}","{(7, '?', '?')}"
"(12, 8, 8, 0)",2,"{(8, 12)}","{('?', 0, 2)}"
"(12, 9, 9, 0)",1,"{(9, 12)}","{(6, 5, 4)}"
"(12, 10, 10, 0)",1,"{(10, 12)}","{(7, '?', 3)}"
"(12, 10, 14, 0)",2,"{(10, 12, 14)}","{('?', 3, '?')}"
"(12, 11, 11, 0)",2,"{(11, 12)}","{('?', '?', '?')}"
"(12, 12, 2, 0)",1,"{(2, 12)}","{(6, 3, '?')}"
"(12, 12, 3, 0)",1,"{(3, 12)}","{(7, '?', 4)}"
"(12, 12, 5, 0)",1,"{(12, 5)}","{(7, '?', 2)}"
"(12, 12, 9, 0)",2,"{(9, 12)}","{(7, '?', 4)}"
"(12, 12, 10, 0)",1,"{(10, 12)}","{(7, '?', 1)}"
"(12, 12, 11, 0)",1,"{(11, 12)}","{(7, 1, '?')}"
"(12, 12, 12, 0)",2,"{(12,)}","{('?', '?', '?')}"
"(12, 12, 17, 0)",1,"{(17, 12)}","{(7, 5, '?')}"
"(12, 12, 20, 0)",1,"{(12, 20)}","{(6, 3, '?')}"
"(12, 12, 27, 0)",2,"{(27, 12)}","{(7, '?', '?')}"
"(12, 13, 9, 0)",1,"{(9, 12, 13)}","{(6, 5, 4)}"
"(12, 13, 13, 0)",1,"{(12, 13)}","{(6, 0, 4)}"
"(12, 13, 17, 0)",1,"{(17, 12, 13)}","{(6, 0, '?')}"
"(12, 13, 26, 0)",1,"{(26, 12, 13)}","{(7, 0, 1)}"
"(12, 14, 14, 0)",2,"{(12, 14)}","{(7, 4, '?')}"
"(12, 15, 10, 0)",2,"{(10, 12, 15)}","{(7, '?', 1)}"
"(12, 15, 11, 0)",2,"{(11, 12, 15)}","{(7, '?', 1)}"
"(12, 15, 14, 0)",3,"{(12, 14, 15)}","{('?', 2, '?')}"
"(12, 15, 27, 0)",1,"{(27, 12, 15)}","{(7, '?', 1)}"
"(12, 16, 7, 0)",2,"{(16, 12, 7)}","{('?', '?', 7)}"
"(12, 16, 11, 0)",1,"{(16, 11, 12)}","{(7, 5, 0)}"
"(12, 16, 12, 0)",1,"{(16, 12)}","{(7, '?', 0)}"
"(12, 16, 16, 0)",1,"{(16, 12)}","{(7, '?', 6)}"
"(12, 22, 7, 0)",4,"{(12, 22, 7)}","{('?', '?', 4)}"
"(12, 22, 12, 0)",2,"{(12, 22)}","{('?', 2, '?')}"
"(12, 22, 14, 0)",2,"{(12, 22, 14)}","{(6, 4, '?')}"
"(12, 22, 20, 0)",2,"{(12, 20, 22)}","{(6, '?', '?')}"
"(12, 23, 3, 0)",1,"{(3, 12, 23)}","{(6, '?', 4)}"
"(12, 23, 7, 0)",1,"{(12, 7, 23)}","{(6, 3, 4)}"
"(12, 23, 9, 0)",1,"{(9, 12, 23)}","{(6, 1, 4)}"
"(12, 23, 20, 0)",1,"{(12, 20, 23)}","{(6, 3, '?')}"
"(12, 26, 26, 0)",2,"{(26, 12)}","{('?', 0, '?')}"
"(12, 27, 1, 0)",1,"{(1, 27, 12)}","{(7, 7, 3)}"
"(12, 27, 3, 0)",4,"{(3, 27, 12)}","{('?', '?', 4)}"
"(12, 27, 12, 0)",2,"{(27, 12)}","{(7, '?', '?')}"
"(12, 27, 15, 0)",2,"{(27, 12, 15)}","{(7, '?', 1)}"
"(12, 27, 21, 0)",1,"{(27, 12, 21)}","{(6, 6, 1)}"
"(12, 27, 27, 0)",2,"{(27, 12)}","{(6, '?', '?')}"
"(13, 8, 8, 0)",1,"{(8, 13)}","{('?', 0, 2)}"
"(13, 13, 9, 0)",1,"{(9, 13)}","{('?', 0, 4)}"
"(13, 13, 13, 0)",1,"{(13,)}","{('?', 0, 4)}"
"(13, 13, 17, 0)",2,"{(17, 13)}","{('?', 0, '?')}"
"(13, 17, 17, 0)",1,"{(17, 13)}","{('?', 1, '?')}"
"(13, 26, 17, 0)",1,"{(17, 26, 13)}","{('?', 0, 1)}"
"(13, 26, 26, 0)",2,"{(26, 13)}","{('?', 0, '?')}"
"(14, 10, 14, 0)",1,"{(10, 14)}","{(1, 3, 5)}"
"(14, 14, 1, 0)",1,"{(1, 14)}","{(1, 4, 5)}"
"(14, 14, 14, 0)",3,"{(14,)}","{(1, '?', '?')}"
"(14, 14, 20, 0)",2,"{(20, 14)}","{(1, 2, '?')}"
"(14, 20, 14, 0)",3,"{(20, 14)}","{(1, '?', '?')}"
"(14, 20, 20, 0)",1,"{(20, 14)}","{(1, 4, 3)}"
"(14, 20, 22, 0)",1,"{(20, 14, 22)}","{(1, 2, 1)}"
"(14, 23, 14, 0)",2,"{(14, 23)}","{(1, 3, '?')}"
"(15, 10, 10, 0)",2,"{(10, 15)}","{('?', '?', 5)}"
"(15, 10, 11, 0)",1,"{(10, 11, 15)}","{(6, 1, 5)}"
"(15, 10, 14, 0)",1,"{(10, 14, 15)}","{(6, 3, 5)}"
"(15, 10, 26, 0)",1,"{(10, 26, 15)}","{(6, 5, 5)}"
"(15, 11, 11, 0)",4,"{(11, 15)}","{('?', '?', '?')}"
"(15, 13, 26, 0)",1,"{(26, 13, 15)}","{(7, 0, 5)}"
"(15, 14, 10, 0)",1,"{(10, 14, 15)}","{(6, 2, 5)}"
"(15, 14, 14, 0)",1,"{(14, 15)}","{(7, 4, 5)}"
"(15, 14, 21, 0)",2,"{(21, 14, 15)}","{('?', 2, 5)}"
"(15, 15, 10, 0)",1,"{(10, 15)}","{(7, '?', 5)}"
"(15, 15, 11, 0)",2,"{(11, 15)}","{(7, '?', 5)}"
"(15, 15, 14, 0)",1,"{(14, 15)}","{(7, 2, 5)}"
"(15, 21, 15, 0)",2,"{(21, 15)}","{(7, '?', 5)}"
"(15, 21, 21, 0)",2,"{(21, 15)}","{(6, '?', 5)}"
"(15, 21, 26, 0)",1,"{(26, 21, 15)}","{(7, 0, 5)}"
"(15, 26, 26, 0)",1,"{(26, 15)}","{(6, 0, 5)}"
"(15, 27, 15, 0)",1,"{(27, 15)}","{(7, 7, 1)}"
"(15, 27, 21, 0)",2,"{(27, 21, 15)}","{(6, '?', 5)}"
"(16, 2, 2, 0)",2,"{(16, 2)}","{('?', '?', '?')}"
"(16, 2, 4, 0)",4,"{(16, 2, 4)}","{(1, '?', '?')}"
"(16, 2, 16, 0)",1,"{(16, 2)}","{(1, 6, 0)}"
"(16, 2, 18, 0)",3,"{(16, 2, 18)}","{('?', '?', 0)}"
"(16, 2, 23, 0)",1,"{(16, 2, 23)}","{(5, 7, 0)}"
"(16, 2, 27, 0)",5,"{(16, 2, 27)}","{('?', '?', '?')}"
"(16, 6, 16, 0)",1,"{(16, 6)}","{(1, 6, 7)}"
"(16, 7, 22, 0)",2,"{(16, 22, 7)}","{(6, '?', 7)}"
"(16, 11, 11, 0)",8,"{(16, 11)}","{('?', '?', '?')}"
"(16, 12, 3, 0)",4,"{(16, 3, 12)}","{('?', '?', 0)}"
"(16, 12, 11, 0)",3,"{(16, 11, 12)}","{('?', '?', 0)}"
"(16, 12, 12, 0)",2,"{(16, 12)}","{('?', '?', 0)}"
"(16, 12, 16, 0)",3,"{(16, 12)}","{('?', '?', '?')}"
"(16, 12, 18, 0)",1,"{(16, 18, 12)}","{(7, 7, 0)}"
"(16, 12, 21, 0)",1,"{(16, 12, 21)}","{(6, 6, 0)}"
"(16, 12, 23, 0)",1,"{(16, 12, 23)}","{(6, '?', 0)}"
"(16, 12, 26, 0)",1,"{(16, 26, 12)}","{(7, 0, 0)}"
"(16, 13, 13, 0)",2,"{(16, 13)}","{(7, 0, '?')}"
"(16, 13, 17, 0)",3,"{(16, 17, 13)}","{('?', 0, '?')}"
"(16, 13, 26, 0)",2,"{(16, 26, 13)}","{('?', 0, '?')}"
"(16, 16, 2, 0)",9,"{(16, 2)}","{('?', '?', '?')}"
"(16, 16, 3, 0)",1,"{(16, 3)}","{(6, 7, 0)}"
"(16, 16, 6, 0)",1,"{(16, 6)}","{(1, '?', 0)}"
"(16, 16, 12, 0)",3,"{(16, 12)}","{('?', '?', '?')}"
"(16, 16, 16, 0)",4,"{(16,)}","{('?', '?', '?')}"
"(16, 16, 17, 0)",2,"{(16, 17)}","{('?', '?', 0)}"
"(16, 16, 18, 0)",1,"{(16, 18)}","{('?', 6, 0)}"
"(16, 16, 21, 0)",1,"{(16, 21)}","{(6, 7, 0)}"
"(16, 16, 27, 0)",1,"{(16, 27)}","{('?', 6, 6)}"
"(16, 17, 17, 0)",2,"{(16, 17)}","{('?', 5, '?')}"
"(16, 24, 11, 0)",1,"{(16, 24, 11)}","{('?', 1, 6)}"
"(16, 24, 24, 0)",1,"{(16, 24)}","{(1, 5, 0)}"
"(16, 26, 17, 0)",1,"{(16, 17, 26)}","{('?', 5, 6)}"
"(16, 27, 3, 0)",5,"{(16, 3, 27)}","{('?', '?', '?')}"
"(16, 27, 12, 0)",5,"{(16, 27, 12)}","{('?', '?', '?')}"
"(16, 27, 15, 0)",2,"{(16, 27, 15)}","{(7, '?', 6)}"
"(16, 27, 27, 0)",3,"{(16, 27)}","{('?', '?', '?')}"
"(17, 8, 8, 0)",1,"{(8, 17)}","{(0, 0, 2)}"
"(17, 11, 11, 0)",1,"{(17, 11)}","{(0, 1, '?')}"
"(17, 13, 17, 0)",1,"{(17, 13)}","{(5, 0, '?')}"
"(17, 17, 11, 0)",1,"{(17, 11)}","{(0, 1, '?')}"
"(17, 17, 17, 0)",2,"{(17,)}","{('?', 0, '?')}"
"(17, 26, 17, 0)",1,"{(17, 26)}","{(0, 0, 3)}"
"(17, 26, 26, 0)",3,"{(17, 26)}","{('?', 0, '?')}"
"(20, 4, 6, 0)",2,"{(20, 4, 6)}","{('?', 3, 2)}"
"(20, 4, 14, 0)",1,"{(20, 4, 14)}","{(5, 3, 2)}"
"(20, 6, 4, 0)",2,"{(20, 4, 6)}","{('?', 3, 2)}"
"(20, 6, 6, 0)",2,"{(20, 6)}","{('?', 3, 2)}"
"(20, 6, 20, 0)",2,"{(20, 6)}","{(0, '?', 2)}"
"(20, 6, 22, 0)",1,"{(20, 6, 22)}","{(0, 2, 2)}"
"(20, 20, 10, 0)",1,"{(10, 20)}","{(5, 3, '?')}"
"(20, 20, 14, 0)",1,"{(20, 14)}","{(1, 4, '?')}"
"(20, 20, 20, 0)",4,"{(20,)}","{('?', '?', '?')}"
"(20, 20, 22, 0)",5,"{(20, 22)}","{('?', '?', '?')}"
"(20, 20, 23, 0)",2,"{(20, 23)}","{('?', 3, '?')}"
"(20, 22, 20, 0)",3,"{(20, 22)}","{('?', '?', '?')}"
"(20, 23, 20, 0)",2,"{(20, 23)}","{('?', 3, '?')}"
"(21, 13, 26, 0)",2,"{(13, 26, 21)}","{('?', 0, 5)}"
"(21, 21, 10, 0)",2,"{(10, 21)}","{(4, '?', 5)}"
"(21, 21, 21, 0)",2,"{(21,)}","{(3, '?', 5)}"
"(21, 26, 26, 0)",1,"{(26, 21)}","{(4, 0, 5)}"
"(22, 7, 22, 0)",1,"{(22, 7)}","{('?', 4, 4)}"
"(22, 10, 14, 0)",2,"{(10, 22, 14)}","{('?', 2, '?')}"
"(22, 10, 22, 0)",2,"{(10, 22)}","{('?', 2, '?')}"
"(22, 14, 14, 0)",2,"{(22, 14)}","{('?', 4, '?')}"
"(22, 20, 22, 0)",2,"{(20, 22)}","{('?', '?', '?')}"
"(22, 22, 14, 0)",1,"{(22, 14)}","{('?', 4, 1)}"
"(22, 22, 22, 0)",4,"{(22,)}","{('?', '?', '?')}"
"(23, 2, 2, 0)",1,"{(2, 23)}","{(4, '?', '?')}"
