dataset,run,value,hierarchy_level,condition
"(5,4)",2,0.9516783469166752,1,fine
"(5,4)",2,0.9608142162340336,2,fine
"(5,4)",2,0.9552205376421894,3,fine
"(5,4)",2,0.9413195182433735,4,fine
"(3,4)",3,0.9450005493396804,0,fine
"(3,4)",3,0.9509364478027593,1,fine
"(3,4)",3,0.9591001559256052,2,fine
"(3,8)",3,0.8973685771277636,0,fine
"(3,8)",3,0.9097872630708692,1,fine
"(3,8)",3,0.8998846101256701,2,fine
"(3,16)",3,0.8364066345915987,0,fine
"(3,16)",3,0.8400709462576632,1,fine
"(3,16)",3,0.8145156067850483,2,fine
"(4,4)",3,0.9178259771499419,0,fine
"(4,4)",3,0.951188722762912,1,fine
"(4,4)",3,0.9514077777935948,2,fine
"(4,4)",3,0.9504698108136057,3,fine
"(4,8)",3,0.8367566954371959,0,fine
"(4,8)",3,0.8685370318082439,1,fine
"(4,8)",3,0.8672359708967686,2,fine
"(4,8)",3,0.845401176404056,3,fine
"(5,4)",3,0.8521153802294553,0,fine
"(5,4)",3,0.903345177398036,1,fine
"(5,4)",3,0.9166836466269225,2,fine
"(5,4)",3,0.9123376043829471,3,fine
"(5,4)",3,0.9068526558620431,4,fine
"(3,4)",4,1.0,0,fine
"(3,4)",4,0.9545544269909549,1,fine
"(3,4)",4,0.9658649127059888,2,fine
"(3,8)",4,0.9272783264360138,0,fine
"(3,8)",4,0.9308037438365466,1,fine
"(3,8)",4,0.9211294593181605,2,fine
"(3,16)",4,0.8977166683876672,0,fine
"(3,16)",4,0.8887748789825224,1,fine
"(3,16)",4,0.8681027823125054,2,fine
"(4,4)",4,0.8588540059056344,0,fine
"(4,4)",4,0.9380486054841646,1,fine
"(4,4)",4,0.9332003037644303,2,fine
"(4,4)",4,0.9371367527809077,3,fine
"(4,8)",4,0.9294241903539969,0,fine
"(4,8)",4,0.9175753955764553,1,fine
"(4,8)",4,0.900210125708879,2,fine
"(4,8)",4,0.8815967706769301,3,fine
"(5,4)",4,0.8950263218115688,0,fine
"(5,4)",4,0.9340241983943345,1,fine
"(5,4)",4,0.9413190497864102,2,fine
"(5,4)",4,0.9414167373984419,3,fine
"(5,4)",4,0.9383305470552602,4,fine
"(3,4)",0,0.9498550528009375,0,mixed
"(3,4)",0,0.9206712595904214,1,mixed
"(3,4)",0,0.8927979956224779,2,mixed
"(3,8)",0,0.9190965689129088,0,mixed
"(3,8)",0,0.9377247142495947,1,mixed
"(3,8)",0,0.9245980964911682,2,mixed
"(3,16)",0,0.8180166377113952,0,mixed
"(3,16)",0,0.8365416534341353,1,mixed
"(3,16)",0,0.8007302233037059,2,mixed
"(4,4)",0,0.8943237432562247,0,mixed
"(4,4)",0,0.9225706831405281,1,mixed
"(4,4)",0,0.906185788276286,2,mixed
"(4,4)",0,0.8974994043272231,3,mixed
"(4,8)",0,0.9153627532267146,0,mixed
"(4,8)",0,0.9182535487747063,1,mixed
"(4,8)",0,0.8941506948999752,2,mixed
"(4,8)",0,0.8722582064794873,3,mixed
"(5,4)",0,0.9146180789821218,0,mixed
"(5,4)",0,0.9255773223610432,1,mixed
"(5,4)",0,0.9262247064307539,2,mixed
"(5,4)",0,0.8995630609949181,3,mixed
"(5,4)",0,0.8888667318321924,4,mixed
"(3,4)",1,0.9393434107588567,0,mixed
"(3,4)",1,0.9398158124666691,1,mixed
"(3,4)",1,0.9234671136243281,2,mixed
"(3,8)",1,0.9576090040454892,0,mixed
"(3,8)",1,0.959453486124922,1,mixed
"(3,8)",1,0.9413750485894438,2,mixed
"(3,16)",1,0.7865940786317092,0,mixed
"(3,16)",1,0.8030132926802996,1,mixed
"(3,16)",1,0.7572180255912696,2,mixed
"(4,4)",1,0.9219444590827104,0,mixed
"(4,4)",1,0.9439793682246794,1,mixed
"(4,4)",1,0.9342094749555057,2,mixed
"(4,4)",1,0.9213084849075459,3,mixed
"(4,8)",1,0.9028580985323493,0,mixed
"(4,8)",1,0.9057169080774465,1,mixed
"(4,8)",1,0.8876168012075318,2,mixed
"(4,8)",1,0.8660102410182329,3,mixed
"(5,4)",1,0.8318113983218449,0,mixed
"(5,4)",1,0.8780046636065022,1,mixed
